severity,source_ip_reputation,alert_frequency,bytes_transferred,hour_of_day,is_admin_account,failed_logins_last_hour,alert_type_encoded,label
2,54,26,8339487,21,0,1,2,0
4,95,51,8913610,1,0,41,3,1
3,35,50,1293041,11,1,13,4,1
2,36,36,7684504,22,0,16,3,0
1,13,26,6944940,22,0,43,2,0
1,26,33,2211464,19,1,48,4,0
1,82,68,2694322,17,0,37,1,0
3,30,73,6659942,11,0,35,1,0
2,72,8,9068092,22,0,33,4,1
3,80,66,2579952,0,0,28,3,1
1,82,93,2376807,10,0,46,3,0
4,43,23,6870332,1,0,22,1,1
3,67,70,238274,11,0,22,3,0
1,47,55,2174719,1,1,15,1,0
1,56,43,1442970,16,1,43,0,0
1,74,21,3344742,5,0,6,1,0
2,21,22,5158122,15,0,44,0,0
2,3,9,1133303,18,1,0,4,0
2,80,34,5615780,5,0,18,0,0
1,71,59,477900,6,0,44,2,0
2,45,26,6584746,18,0,32,3,0
1,58,1,4786852,19,0,33,0,0
1,33,5,9079271,16,0,0,2,0
2,10,41,9953492,5,0,11,2,0
2,30,63,3627164,14,0,24,3,0
3,10,22,3230794,21,0,22,1,0
1,55,68,2316722,8,1,24,2,0
2,37,48,6685873,1,0,30,0,0
2,20,66,4950857,4,0,23,3,0
1,93,16,9683588,20,0,9,0,0
2,9,80,1832572,22,0,1,1,0
1,25,53,469303,4,0,32,3,0
1,90,86,9289048,11,0,36,2,0
4,7,65,2035936,9,0,22,0,0
4,7,79,855056,3,0,1,0,0
3,59,64,41456,11,0,3,2,0
2,71,88,6562264,14,0,22,2,0
1,33,68,2542902,9,0,45,1,0
3,15,63,2203381,17,0,40,1,0
2,12,62,4860378,23,1,37,2,0
1,86,82,4835528,4,0,22,3,0
2,75,81,7293646,12,0,11,2,0
1,90,71,4900367,3,0,43,2,1
4,21,45,9472399,8,0,23,4,0
1,95,52,6641164,17,0,28,3,0
3,26,74,5365064,2,0,40,3,0
2,63,65,8949160,23,0,27,1,0
2,1,2,349001,10,1,14,1,0
2,96,49,9292642,3,0,9,1,0
1,25,22,2866548,8,0,33,0,0
4,91,96,2557359,11,0,28,3,1
3,82,29,5191375,9,0,30,4,1
4,68,35,5593489,9,0,22,1,0
3,96,81,2661234,8,1,17,1,1
2,83,76,3699253,9,0,6,1,0
4,29,24,3259470,8,1,26,1,0
1,7,94,7143182,0,0,8,1,0
1,37,30,2592650,21,0,19,0,0
1,60,84,7539111,15,0,20,4,0
2,80,42,8402025,13,0,27,3,0
2,64,71,9899310,12,0,49,4,0
1,66,50,1980285,5,0,2,2,0
3,45,71,8444051,13,0,44,3,0
2,89,60,215189,7,0,9,1,0
1,94,30,6214447,22,0,16,2,0
2,71,12,8386815,22,0,34,2,0
1,42,49,7387151,17,0,20,2,0
3,58,95,8160132,19,0,8,2,0
1,45,82,8077504,0,0,16,1,0
4,71,46,6818514,11,0,31,2,1
3,34,43,1242185,10,0,47,4,0
1,38,2,1348668,12,1,37,1,0
1,91,97,113612,22,1,27,2,0
3,50,75,443318,3,0,17,2,0
3,3,98,6003223,5,0,5,4,0
3,79,80,1707542,21,0,5,0,0
3,76,54,604502,12,1,16,0,1
1,83,35,5362606,23,0,9,4,0
2,50,52,4489473,21,1,1,0,0
1,4,33,4244677,12,1,32,3,0
3,54,85,9257610,5,0,42,3,1
2,100,84,9730248,21,0,24,3,0
2,19,72,8384907,3,0,37,0,0
1,23,51,146083,20,0,0,3,0
2,35,26,884315,2,0,15,3,0
2,33,97,8288790,14,0,25,0,0
3,53,62,5301146,10,0,40,4,0
2,33,61,5360727,1,0,11,1,0
3,82,26,7307661,22,0,8,3,0
2,16,37,8901813,16,1,12,0,0
1,4,30,5168660,22,0,6,1,0
3,88,95,8667696,1,0,0,1,0
3,17,97,172236,20,0,30,2,0
2,54,11,3353543,0,0,34,1,0
3,52,53,946219,4,1,23,3,1
2,49,41,5428203,19,0,2,4,0
2,71,5,2034987,16,0,18,3,0
2,90,66,6720481,0,0,3,2,0
1,78,13,2860713,6,0,27,1,0
1,44,63,2053398,2,0,43,2,0
1,12,82,3353212,15,0,29,3,0
2,15,90,9132835,15,0,35,3,0
2,85,25,7246134,11,0,41,3,0
2,83,44,5550957,8,0,3,4,0
4,12,14,9416207,13,0,22,3,0
1,19,69,8401752,11,0,10,3,0
2,65,59,4188433,15,0,3,1,0
3,98,56,3575589,16,0,10,4,0
1,46,52,366099,11,0,48,1,0
1,18,66,3158546,3,1,23,2,0
1,44,68,9698828,16,1,19,0,0
1,36,12,3182608,0,0,44,1,0
4,53,75,1895117,20,0,16,4,0
3,5,68,7306269,16,0,12,1,0
2,13,43,8312111,10,1,16,0,0
3,3,73,3564074,18,0,14,1,0
3,85,74,4352092,22,1,3,0,0
1,54,91,758641,17,0,17,4,0
3,99,6,293441,19,0,42,1,1
2,33,15,6572662,1,0,8,4,0
3,26,42,1602356,8,0,47,4,0
3,6,31,9151047,8,0,2,2,0
2,2,86,4805453,11,1,26,2,0
1,46,53,5964617,12,0,17,1,0
1,96,6,5080844,15,0,16,1,0
2,1,33,594173,12,0,9,4,0
3,79,29,8988087,22,0,36,2,0
3,24,21,47674,13,0,28,1,0
1,59,54,1653279,6,0,46,1,0
2,78,56,8693879,1,0,49,1,0
2,23,94,5075765,11,0,4,2,0
1,14,21,203265,23,0,46,1,0
1,94,55,2342517,16,1,5,4,0
2,13,58,8788064,23,0,39,1,0
4,53,64,4302193,4,0,34,3,1
2,77,86,8274176,19,0,4,0,0
2,5,46,2130047,9,0,49,4,0
3,77,84,6648987,17,0,14,1,1
2,80,22,9186960,2,0,26,3,0
4,17,60,2832440,12,0,43,2,0
4,19,11,8993349,12,1,38,4,1
1,61,47,8550323,9,0,32,4,0
2,80,31,8155691,1,0,23,1,0
2,79,77,8674003,15,0,20,2,0
1,39,18,3956398,3,0,1,1,0
1,38,22,3809601,18,0,18,3,0
2,51,56,9349428,4,0,44,0,0
2,31,17,5928465,6,0,17,2,0
1,72,38,9310491,8,0,9,0,0
1,26,25,106371,4,0,44,3,0
4,51,32,9579561,7,0,36,4,1
1,96,15,556010,1,0,22,3,0
1,62,13,2877309,21,0,44,0,0
2,73,58,4271988,23,0,40,2,0
4,62,90,2152581,19,0,0,1,0
1,16,50,3748453,19,1,5,0,0
3,48,11,1223901,6,1,0,2,1
3,99,13,2511076,3,0,17,0,1
1,80,97,8238885,20,0,26,4,0
3,81,50,9108931,14,0,47,4,1
2,22,38,3959781,17,0,39,1,0
2,97,1,5734203,1,0,37,4,0
2,71,39,1925238,13,0,44,3,0
2,12,27,7143010,9,0,16,1,0
1,22,36,7421789,4,0,25,0,0
3,56,32,4299689,11,0,12,3,0
2,61,41,5572931,9,0,9,2,0
1,53,15,9343896,17,0,37,0,0
1,19,31,4233454,5,0,25,4,0
2,85,6,3660171,21,0,30,0,0
3,51,89,5566286,11,0,22,4,0
1,22,52,8498364,23,0,49,3,0
2,34,82,481588,0,0,19,3,0
1,66,22,5455353,6,0,22,3,0
2,33,31,5523849,11,0,44,1,0
1,32,73,7432843,6,0,26,4,0
3,45,46,3539961,8,1,14,0,0
2,80,67,151957,19,0,37,0,0
4,44,97,101351,14,0,10,0,0
1,18,91,4240564,22,0,7,1,0
2,93,43,2500628,11,0,13,1,0
1,86,1,6739618,12,0,12,4,0
4,14,44,702022,21,1,21,1,0
3,77,57,3092049,3,1,33,3,1
1,65,9,6066330,9,1,0,0,0
3,38,5,1241954,23,0,36,3,0
3,17,79,9199809,2,1,31,1,1
2,69,9,2464991,23,1,10,0,0
2,58,45,8421100,4,0,9,2,0
1,31,92,7560147,3,0,29,3,0
1,20,77,2206167,18,0,11,2,0
3,39,24,241495,14,0,41,4,0
4,91,74,3149415,22,0,40,3,1
2,26,42,2555003,6,1,33,0,0
2,1,22,858095,21,1,24,0,0
2,96,60,6079016,2,1,35,2,1
3,79,86,4601354,15,0,3,0,1
3,38,37,1952256,14,0,20,3,0
3,85,39,683933,17,0,29,1,0
3,55,84,824308,2,0,37,1,1
2,12,74,7217945,13,0,11,0,0
1,55,74,1663100,0,0,38,4,0
1,65,90,2760878,6,0,24,3,0
3,77,89,2166536,1,0,18,4,1
2,55,53,5797640,9,0,1,2,0
1,27,28,658816,23,1,21,0,0
1,63,77,4337407,15,0,29,2,0
3,70,15,159849,11,0,35,4,0
1,81,60,6203314,17,1,2,3,0
1,63,60,209816,5,0,22,4,0
2,55,6,1681884,16,0,3,1,0
3,40,52,8705490,7,0,27,4,0
3,99,12,3846865,20,0,13,4,1
1,40,19,7294456,8,0,5,4,0
3,99,96,1268026,18,1,5,4,1
1,3,75,9561372,1,0,40,3,0
2,56,97,6551207,6,0,36,0,0
3,29,2,4586759,10,0,6,3,0
2,87,55,8748677,22,0,12,2,0
3,83,15,5109164,12,0,0,1,0
3,45,64,7956660,9,0,23,0,0
2,55,69,5884779,14,0,33,1,0
1,30,15,6795576,20,0,9,1,0
2,87,43,7809285,6,0,5,0,0
1,6,74,277883,5,0,3,0,0
1,89,17,9415301,11,0,7,2,0
4,76,98,2956596,2,0,45,3,1
2,53,24,5709563,15,0,47,0,0
3,7,74,13699,19,0,14,2,0
2,54,30,3587848,8,1,44,4,0
3,68,67,3326793,9,0,11,0,0
2,43,51,562631,12,1,38,3,0
2,12,60,6696447,7,0,46,4,0
2,92,3,2874710,5,1,5,4,0
1,19,5,633273,2,0,20,4,0
3,77,28,5953797,11,0,45,4,1
1,31,78,326380,8,1,31,1,0
1,59,11,3322674,8,0,31,3,0
2,49,72,1178601,10,1,26,2,0
1,26,72,5798754,5,0,46,0,0
4,24,76,7340639,1,0,10,2,0
4,51,15,9428194,6,0,21,1,0
4,67,83,1686736,8,0,35,4,0
2,20,48,5164920,18,0,22,0,0
1,17,46,6721697,17,1,36,3,0
4,38,28,7481327,11,0,22,0,0
2,14,7,1556681,20,0,26,0,0
4,52,71,6576543,10,0,33,2,0
4,37,94,6747532,9,0,19,4,0
3,47,82,9241327,22,0,14,3,0
1,51,88,3257269,2,0,41,0,0
2,87,6,3389812,11,0,3,1,0
3,71,58,9805177,3,0,28,1,1
2,27,68,7148768,9,1,39,4,0
1,84,55,427189,1,0,10,0,0
2,15,67,1254696,11,0,48,4,0
4,15,49,5410607,10,0,6,0,0
3,34,51,1122734,13,0,10,3,0
2,16,59,2554545,14,0,41,1,0
1,72,6,6219893,13,0,32,2,0
2,98,90,122207,11,0,29,4,0
4,51,51,1151563,1,1,31,3,1
1,92,38,1633325,22,0,39,1,0
2,81,11,9980130,1,0,36,3,0
3,11,52,2743651,0,0,12,2,0
3,82,93,9735461,19,0,6,0,0
3,47,20,3884271,14,1,23,0,0
3,21,10,2527435,21,0,10,3,0
2,48,26,3608213,9,0,30,3,0
1,51,48,2257899,19,0,43,4,0
3,78,91,9962332,0,0,13,3,1
3,0,14,5882700,0,0,43,0,0
3,65,59,2911202,0,0,25,3,0
4,63,12,2090898,22,0,0,1,0
2,7,23,7362910,10,0,5,1,0
2,85,85,601248,11,0,30,0,0
3,24,72,8791169,14,1,42,3,0
2,65,39,224094,13,0,42,3,0
3,72,9,2381880,22,0,11,3,1
3,72,88,9960847,0,1,0,1,1
